timestamp,message
2025-05-12T16:00:05Z,"port_scan:scan_type=syn,ports=22,80,443"
2025-05-12T16:01:10Z,"flood:http_get,rate=2000rps,duration=120s"
2025-05-12T16:02:15Z,"exploit:ms17-010,target_service=smb"
2025-05-12T16:03:20Z,"brute_force:service=ssh,user=admin,attempts=50"
2025-05-12T16:04:25Z,"dns_amplification:query_type=ANY,amplification_factor=50"
2025-05-12T16:05:30Z,"ntp_reflection:command=monlist,response_size=4MB"
2025-05-12T16:06:35Z,"sip_scan:method=invite,scan_rate=100rps"
2025-05-12T16:07:40Z,"slowloris:connections=500,interval=10s"
2025-05-12T16:08:45Z,"snmp_brute:community_strings=public,private,attempts=20"
2025-05-12T16:09:50Z,"heartbleed:protocol=sslv3,probe_count=5"
2025-05-12T16:10:55Z,"unauthorized_access:service=mysql,user=root,pass=admin123"
2025-05-12T16:12:00Z,"spam_relay:open_relay_test,emails_sent=1000"
2025-05-12T16:13:05Z,"ldap_injection:filter=*(uid=*),depth=3"
2025-05-12T16:14:10Z,"vpn_brute:service=pptp,user=vpnuser,pass=Password1"
2025-05-12T16:15:15Z,"tftp_exploit:request=get,file=/etc/passwd"
2025-05-12T16:16:20Z,"icmp_flood:packets=10000,rate=500pps"
2025-05-12T16:17:25Z,"sqlmap:target=/api/login,payload=' OR '1'='1"
2025-05-12T16:18:30Z,"rce_attempt:payload=cmd=whoami,endpoint=/api/exec"
2025-05-12T16:19:35Z,"credential_stuffing:service=ftp,creds_list=1000"
2025-05-12T16:20:40Z,"xss_injection:payload=<script>alert('XSS')</script>,target=/search"
